קוד פריט,מספר מסמך,פרופיל,תאריך אסמכתא,קוד לקוח,שם לקוח,מיקוד,שם לקוח,סיווג לקוח,אסמכתא חיצונית,תאור פריט,מאפיין פריט,הפרדת מוצרים,מקט לקוח,כמות,מחיר נטו לשורה,קוד מטבע,מחיר מחירון שיקלי,%הנחה שורה,%הנחה כללי,הנחה בשורה,"סה""כ לשורה בש""ח",תאריך אספקה,שם חברה,סוכן,docStatus,קוד קבוצת פריט,תאור קבוצת פריט
GLG-7450-23010105-25L,10DVK52.2000294,חשבונית מס כולל מלאי,09/01/2020,5140953,גרין איט,6473104 ,גרין איט,סוחר,07/01/2020,אקונומיקה אקולוגית,N,חומרי ניקוי ,,1,185,ILS,211,12.3223,0,26,185,07/01/2020,"רוטל דבקים וכימיקלים בע""מ",ליאור בורוכוב,3,2042,חמרי ניקוי
112-2L-P,10DVK52.2010141,חשבונית מס כולל מלאי,08/11/2020,5051390,אבן אודם,0,אבן אודם,שונות,05/11/2020,אקונומיקה אקולוגית,N,חומרי ניקוי ,,10,3.938,ILS,3.58,-10,0,-3.58,39.38,05/11/2020,"רוטל דבקים וכימיקלים בע""מ",מאיר טל,3,2042,חמרי ניקוי
111-500ML-PE-W,10DVK52.2010141,חשבונית מס כולל מלאי,08/11/2020,5051390,אבן אודם,0,אבן אודם,שונות,05/11/2020,בקבוק דגם טליה,500ML,חומרי ניקוי ,,20,1.133,ILS,1.03,-10,0,-2.06,22.66,05/11/2020,"רוטל דבקים וכימיקלים בע""מ",מאיר טל,3,2042,חמרי ניקוי
111-500ML-PE-W,10DVK52.2011022,חשבונית מס כולל מלאי,01/12/2020,5051390,אבן אודם,0,אבן אודם,שונות,01/12/2020,בקבוק דגם טליה,500ML,חומרי ניקוי ,,30,1.1,ILS,1.1,0,0,0,33,01/12/2020,"רוטל דבקים וכימיקלים בע""מ",מאיר טל,3,2042,חמרי ניקוי
111-750ML-PE-W,10DVK52.2010141,חשבונית מס כולל מלאי,08/11/2020,5051390,אבן אודם,0,אבן אודם,שונות,05/11/2020,בקבוק דגם טליה,750ML,חומרי ניקוי ,,20,1.485,ILS,1.35,-10,0,-2.7,29.7,05/11/2020,"רוטל דבקים וכימיקלים בע""מ",מאיר טל,3,2042,חמרי ניקוי
111-750ML-PE-W,10DVK61.2000385,חשבונית זיכוי,01/12/2020,5051390,אבן אודם,0,אבן אודם,שונות,05/11/2020,בקבוק דגם טליה,750ML,חומרי ניקוי ,,-20,1.485,ILS,1.35,-10,0,-2.7,-29.7,05/11/2020,"רוטל דבקים וכימיקלים בע""מ",מאיר טל,3,2042,חמרי ניקוי
"111-28""-CLEAR-TRIGGER",10DVK52.2002464,חשבונית מס כולל מלאי,18/03/2020,5030024,קונצפט רוקחות,4464316,קונצפט רוקחות,"תעשית המזון, הפארמה והקוסמטיקה",20100127,טריגר ברבור,N,חומרי ניקוי ,,1000,0.8,ILS,0.8,0,0,0,800,18/03/2020,"רוטל דבקים וכימיקלים בע""מ",מורן יהודאי,3,2042,חמרי ניקוי
GLG-P-L31,10DVK52.2010141,חשבונית מס כולל מלאי,08/11/2020,5051390,אבן אודם,0,אבן אודם,שונות,05/11/2020,טריגר ברבור,N,חומרי ניקוי ,,20,1.386,ILS,1.26,-10,0,-2.52,27.72,05/11/2020,"רוטל דבקים וכימיקלים בע""מ",מאיר טל,3,2042,חמרי ניקוי
GLG-P-L31,10DVK52.2011022,חשבונית מס כולל מלאי,01/12/2020,5051390,אבן אודם,0,אבן אודם,שונות,01/12/2020,טריגר ברבור,N,חומרי ניקוי ,,15,1.4,ILS,1.4,0,0,0,21,01/12/2020,"רוטל דבקים וכימיקלים בע""מ",מאיר טל,3,2042,חמרי ניקוי
DETERGENT'S_MEASURING_CUP,10DVK52.2011022,חשבונית מס כולל מלאי,01/12/2020,5051390,אבן אודם,0,אבן אודם,שונות,01/12/2020,טריגר ברבור,N,חומרי ניקוי ,,15,0.44,ILS,0.44,0,0,0,6.6,01/12/2020,"רוטל דבקים וכימיקלים בע""מ",מאיר טל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2001983,חשבונית מס כולל מלאי,01/03/2020,5051219,עדי משה,0,לקוח אינטרנט חומרי ניקוי,שונות,1845,מארז חסכון,N,חומרי ניקוי ,,1,0.85,ILS,0.8547,0,0,0,0.85,01/03/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2001985,חשבונית מס כולל מלאי,01/03/2020,6,לקוח נסיון רוטל,0,לקוח נסיון רוטל,שירותים,1844,מארז חסכון,N,חומרי ניקוי ,,1,0.85,ILS,0.8547,0,0,0,0.85,01/03/2020,"רוטל דבקים וכימיקלים בע""מ",ורד משה,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK61.2000066,חשבונית זיכוי,09/03/2020,5051219,עדי משה,0,לקוח אינטרנט חומרי ניקוי,שונות,1845,מארז חסכון,N,חומרי ניקוי ,,-1,0.85,ILS,0.8547,0,0,0,-0.85,01/03/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK61.2000067,חשבונית זיכוי,09/03/2020,6,לקוח נסיון רוטל,0,לקוח נסיון רוטל,שירותים,1844,מארז חסכון,N,חומרי ניקוי ,,-1,0.85,ILS,0.8547,0,0,0,-0.85,01/03/2020,"רוטל דבקים וכימיקלים בע""מ",ורד משה,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2002522,חשבונית מס כולל מלאי,22/03/2020,5051219,נתנאלה גור,0,לקוח אינטרנט חומרי ניקוי,שונות,1900,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,19/03/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2002834,חשבונית מס כולל מלאי,31/03/2020,5051219,איתמר באן,0,לקוח אינטרנט חומרי ניקוי,שונות,1912,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,30/03/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2002839,חשבונית מס כולל מלאי,31/03/2020,5051219,מאיה פלמון,0,לקוח אינטרנט חומרי ניקוי,שונות,1920,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,31/03/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
WTM-BOX-283/180/264-RSC,10DVK52.2002835,חשבונית מס כולל מלאי,31/03/2020,5051219,נורית מנור,0,לקוח אינטרנט חומרי ניקוי,שונות,1919,מארז חסכון,N,חומרי ניקוי ,,1,106.84,ILS,106.8376,0,0,0,106.84,31/03/2020,"רוטל דבקים וכימיקלים בע""מ",רוטל,3,2042,חמרי ניקוי
